sentence,predicted,correct_label
What kind of batteries do Canadians get the most excited about? AA,0,1.0
People with gender dysphoria tend to be great businessmen. Every action they take is a trans-action.,0,1.0
Do you think that all this poverty in Africa is just Gods way of saying that he didn't mean to create black people?,0,1.0
"Sins are like viruses, it's better you keep them to yourself",0,1.0
My white hot take is that I love the Star Wars movies but I like the mandalorian more.,1,0.0
Ladies take him with you shopping and ask him to choose some outfits which he would like you to wear.,1,0.0
Welp time to watch Eastern Promises,1,0.0
Def missed my connecting flight due to some delays. So I guess I'm spending the night in DC! I need a drank,1,0.0
Phoebe Bridgers AND Phoebe Waller Bridge?!?,1,0.0
"There are earthquakes on the moon. They're called ""moonquakes.""",1,0.0
"I don’t care how many times I see it, I will NEVER comprehend the fact that people have to use GoFundMe for medical bills in this country.",1,0.0
"Arizona: ""There will be people lining up for you."" Callie: ""You wanna give me some names?"" Arizona: ""I think you'll know.""",1,0.0
People of all pronouns are hot.,1,0.0
if she's old enough to bleed she's old enough to have decisions about her healthcare be in the hands of old white men,1,0.0
I scroll through twitter endlessly looking for something good or entertaining the same way I used to channels on the old TV set top box.,1,0.0
Mental health Myth or Fact: People with mental health problems can snap out of it if they try hard enough? NMMHAM What r other MH myths?,1,0.0
I never realized how easy and undemanding having one child was until we added a second child.,1,0.0
"""Latchkey incontinence"" is the phenomenon where the closer you get to a bathroom, the more you need to go. It's also referred to as Key-in-Lock Syndrome.",1,0.0
I once got screamed at in 2012 by my boss for following an evacuation notice in the middle of hurricane season. He made me drive back through a tornado warning because there was a scheduled rally the next morning.,1,0.0
I’ve forgotten how to tell if pasta is done.,1,0.0
"Of what use is money when all you have is your health? HIV is no longer a death sentence, get treatment and be fine.",1,0.0
Some say the boyfriend always needs to hold the girl. Some boyfriends want the girl to hold them so they feel assured.,1,0.0
1/4 Am I the only tweet iatric ian that refers to the infants I saw in my FIRST year of practice as 'my babies?' My babies are turning 14 this year and it seems like yesterday I was cuddling them as newborns ©. I still walk into the room expecting that squishy little face.,1,0.0
Finishing up my new video 'Mexican parents watch MEXvsGER' .... after I get these subtitles done for my pochito supporters I will upload !!! ,1,0.0
"This is my favorite time of year: every Sunday, the boys come over, we order hot wings and watch ""Love Actually.""",1,0.0
"Two close friends annouced their new bfs to me. They wanted to celebrate it so I invited to dinner. Turns out, their bfs were all my exes. We smiled, laughed and had a good time. No jealousy, no feeling bad - just fun. It's called maturity. Exes are just that...exes.",1,0.0
Colorism is alive and well in the black comm'y. What's colorism really about?,1,0.0
If Laura Dern and Brad Pitt win best supporting actor I think they should have to go on a date too,1,0.0
